date,equity,cash,gross_exposure,net_exposure,unrealized_pnl_total,realized_pnl_total,fees_paid,total_trades
2024-03-07,79850.98040267978,107798.85124469711,27947.87084201733,-27947.87084201733,-1887.3779476152872,-17995.22371482103,266.4179348842312,304
2024-03-08,80136.48510092264,108184.2784326452,28047.793331722547,-28047.793331722547,-1601.7919243977285,-17995.22371482103,266.4992598589224,306
2024-03-11,80193.83136716034,140343.02422463763,60149.19285747728,-60149.19285747728,-1537.6668489387744,-17995.22371482103,273.2780690801742,308
2024-03-12,79438.90767372024,139018.24977399982,59579.34210027958,-59579.34210027958,-2242.480693069869,-18045.05452896634,273.5571042438523,310
2024-03-13,79714.47422848133,139500.3943988856,59785.92017040428,-59785.92017040428,-1966.8124022398179,-18045.05452896634,273.65884031283474,312
2024-03-14,79848.88343762317,139735.57457895324,59886.69114133007,-59886.69114133007,-1832.3536200064186,-18045.05452896634,273.7084134044162,314
2024-03-15,80410.21728301351,140718.0029201296,60307.785637116096,-60307.785637116096,-1270.8125185968277,-18045.05452896634,273.91566942365677,316
2024-03-18,79943.24725100551,139900.7839820298,59957.53673102429,-59957.53673102429,-1714.6995983707461,-18067.96523637471,274.08791424937067,318
2024-03-19,79701.87016115217,139478.319225325,59776.44906417282,-59776.44906417282,-1941.7469214377852,-18082.20609828784,274.17681912251595,320
2024-03-20,79070.81664440126,138374.06316089618,59303.246516494924,-59303.246516494924,-2525.8852393783236,-18128.888779479003,274.4093367417219,322
2024-03-21,78832.42300724627,137956.7914122147,59124.36840496842,-59124.36840496842,-2744.9778151353785,-18148.101986152215,274.4971914664384,324
2024-03-22,78854.63747519976,137995.62468316738,59140.98720796762,-59140.98720796762,-2721.62653095324,-18149.21991855729,274.5160752900067,326
2024-03-25,79043.57480994234,138326.2961585025,59282.72134856015,-59282.72134856015,-2532.6195397226,-18149.21991855729,274.5857317780885,328
2024-03-26,79194.23914272993,138589.9514204083,59395.71227767836,-59395.71227767836,-2381.899643753258,-18149.21991855729,274.64129495984065,330
2024-03-27,78843.38534837337,137975.99121395475,59132.60586558138,-59132.60586558138,-2703.7210468345484,-18178.123209256344,274.77039553606926,332
2024-03-28,78903.51227660914,138081.16090906214,59177.648632453,-59177.648632453,-2643.5719330639286,-18178.123209256344,274.79258107092636,334
2024-04-01,78892.32670390108,138061.58604395072,59169.25934004965,-59169.25934004965,-2652.043776757584,-18180.812896746807,274.8166225948873,336
2024-04-02,79329.22530956348,107096.16663912068,27766.9413295572,-27766.9413295572,-1044.110849742691,-19345.32724271764,281.3365979765309,338
2024-04-03,79282.8043556572,107031.78972851351,27748.98537285631,-27748.98537285631,-1088.0735749805117,-19347.77190507695,281.3501642856789,340
2024-04-04,79664.19906854819,107546.69806804754,27882.49899949936,-27882.49899949936,-706.570295063009,-19347.77190507695,281.45873131220196,342
2024-04-05,79354.18561985566,107128.17409810882,27773.98847825316,-27773.98847825316,-1001.5180059279231,-19362.749498812176,281.5468754045761,344
2024-04-08,79342.31611481172,107112.1275745924,27769.81145978068,-27769.81145978068,-1012.7766913336488,-19363.356942607457,281.550251247514,346
2024-04-09,79274.86849552451,107021.07816538216,27746.209669857657,-27746.209669857657,-1076.8433230694554,-19366.718732270554,281.5694491358337,348
2024-04-10,79534.79665992799,107371.99459456079,27837.197934632793,-27837.197934632793,-816.841225183867,-19366.718732270554,281.6433826179245,350
